                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2974,                 1.5881,                 1.0288,                0.79016,                0.61079,                0.70727,                0.46506,                 1.1523,                0.99389,                 1.0499,             0.00066395,             0.00066395,             0.00066395
                      2,                 1.2734,                0.94424,                 1.0376,                0.73173,                0.58391,                0.68018,                0.41496,                 1.2548,                 1.1687,                 1.0787,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.2848,                0.92004,                 1.0415,                0.83721,                0.65811,                0.77212,                0.50604,                 1.1436,                0.84099,                 1.0254,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.2134,                0.86315,                 1.0267,                0.83341,                0.64665,                0.76544,                0.50153,                 1.1318,                0.80467,                 1.0358,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2258,                  0.841,                   1.03,                0.85306,                0.72245,                0.82236,                0.54849,                 1.0476,                0.70467,                 1.0174,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1596,                0.78724,                 1.0024,                0.84892,                0.71983,                0.81924,                 0.5616,                 1.0185,                0.68587,                 1.0024,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1406,                0.76434,                 1.0011,                 0.8631,                0.72938,                0.83737,                0.55383,                 1.0379,                0.66801,                 1.0156,               0.001802,               0.001802,               0.001802
                      8,                 1.1113,                0.74182,                0.98667,                 0.8686,                0.73236,                0.84013,                0.57198,                 1.0011,                0.67155,                0.99158,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1051,                0.73599,                0.99269,                0.88846,                0.73889,                0.85524,                0.58828,                0.96977,                0.64045,                 0.9773,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0796,                0.70525,                0.97117,                0.89955,                0.75188,                 0.8647,                0.59106,                0.98524,                0.63346,                0.97946,              0.0016832,              0.0016832,              0.0016832
